business_date,run_age_bd,daily_dir_size_bytes,daily_file_count,day_completion_status,total_elapsed_seconds,elapsed_market_refresh_seconds,elapsed_morning_seconds,elapsed_sell_planning_seconds,elapsed_data_readiness_seconds,elapsed_submit_seconds,elapsed_execution_seconds,elapsed_current_valuation_refresh_seconds,elapsed_runtime_state_refresh_seconds,regime,market_trend_state,breadth_state,confidence,equity,daily_pnl,daily_return,cash,market_value,exposure,position_count,pc_member_count,bq_positive_count,capitalized_pc_member_count,prior_exit_lineage_row_count,reentry_suppressed_count,old_gt120bd_reentry_suppressed_count,unknown_context_reentry_suppressed_count,prior_exit_target_zero_count,positive_add_count
2024-07-25,446,217356028,126,PASS,272.31843,150.321659,41.497198,6.441821,2.695714,61.251396,3.415645,4.566218,2.128779,CORRECTION,CORRECTION,WEAK,0.988923004251,1792100.0,-10680.0,-0.00592418,1062590.0,729510.0,0.40707,5,51,42,6,40,39,16,10,39,0
2024-07-26,447,226639432,126,PASS,300.549899,149.828252,52.458135,4.881314,2.718765,80.352451,3.522326,4.61859,2.170066,BEAR,BEAR,WEAK,0.987701804368,1769440.0,-22660.0,-0.01264438,1219070.0,550370.0,0.311042,7,50,43,7,39,37,17,9,37,0
2024-07-29,448,225095090,126,PASS,285.698407,149.223837,47.776331,6.008504,2.675438,69.775024,3.497974,4.581846,2.159453,CORRECTION,CORRECTION,WEAK,0.989698552101,1752100.0,-17340.0,-0.00979971,977770.0,774330.0,0.441944,6,50,39,6,39,39,17,9,39,0
2024-07-30,449,224128999,126,PASS,275.094397,149.193052,46.217423,4.985508,2.69782,61.657542,3.478835,4.650906,2.213311,CORRECTION,CORRECTION,WEAK,0.988947368421,1750160.0,-1940.0,-0.00110724,1345070.0,405090.0,0.231459,6,50,42,6,41,39,16,8,39,0
2024-07-31,450,227739135,126,PASS,250.561768,152.295717,39.884904,3.792378,2.710273,41.470763,3.414168,4.800917,2.192648,RANGE,RANGE,NEUTRAL,0.991644783958,402580.0,-1347580.0,-0.76997532,,402580.0,1.0,6,50,44,6,41,40,15,9,40,0
2024-08-01,451,226479362,126,PASS,201.525792,150.968029,33.048706,3.607936,2.728466,2.361046,2.146354,4.51125,2.154005,BEAR,BEAR,WEAK,0.990721893491,1750950.0,1348370.0,3.34932187,1348370.0,402580.0,0.229921,6,50,43,6,42,42,16,9,42,0
2024-08-02,452,224031857,126,PASS,233.834013,150.901565,35.487805,4.155907,2.655948,30.529013,3.318821,4.630163,2.154791,BEAR,BEAR,WEAK,0.987455788729,1732630.0,-18320.0,-0.01046289,1348370.0,384260.0,0.221778,5,50,40,5,39,39,16,8,39,0
2024-08-05,453,224489822,126,PASS,275.120957,150.566704,45.751653,4.876669,2.746845,61.026326,3.432159,4.563494,2.157107,BEAR,BEAR,WEAK,0.987826086957,1717700.0,-14930.0,-0.00861696,1393270.0,324430.0,0.188875,5,50,46,5,40,40,16,7,40,0
2024-08-06,454,233150595,126,PASS,317.055393,149.940331,56.242097,4.997555,2.699653,92.704073,3.632994,4.649005,2.189685,HIGH_VOLATILITY,BEAR,WEAK,0.98433451119,1663320.0,-54380.0,-0.03165861,1243770.0,419550.0,0.252236,6,51,50,6,40,40,16,6,40,0
2024-08-07,455,227330924,126,PASS,260.378926,150.682981,39.85908,5.518593,2.703377,51.526491,3.39369,4.565562,2.129152,HIGH_VOLATILITY,BEAR,WEAK,0.984484791323,1721650.0,58330.0,0.03506842,1073120.0,648530.0,0.376691,5,51,47,6,43,43,17,8,43,0
2024-08-08,456,234740075,126,PASS,236.97823,152.11921,37.479123,3.745869,2.713693,30.418379,3.522425,4.806632,2.172899,HIGH_VOLATILITY,BEAR,WEAK,0.989049537805,679280.0,-1042370.0,-0.60544826,,679280.0,1.0,6,50,49,6,42,42,16,8,42,0
